Feature,Importance
late_order_freq,0.5891731
order_completion_rate,0.11740482
lifetime_recipes_rated,0.070217445
rating_engagement_rate,0.032922696
tenure_weeks,0.027649762
total_orders,0.027262872
late_avg_rating,0.024805836
rating_trend,0.010786818
delivery_complaints,0.009940268
avg_recipe_rating,0.009683075
total_skips,0.009570645
avg_order_value,0.009386912
frequency_trend,0.009334565
tickets_per_tenure_month,0.008723716
total_tickets,0.008659623
lifetime_recipes_received,0.008166106
early_avg_rating,0.0064575127
avg_resolution_days,0.00569092
early_order_freq,0.0051319893
weekly_price_gbp,0.0045428355
initial_discount_pct,0.004488435
menu_customisation_rate,0.0
avg_discount_pct,0.0
discount_dependency_rate,0.0
